ligname	1-4_eel_avg	1-4_eel_se	1-4_vdw_avg	1-4_vdw_se	angle_avg	angle_se	bond_avg	bond_se	dihed_avg	dihed_se	edisper_avg	edisper_se	eel_avg	eel_se	vdwaals_avg	vdwaals_se	egb_avg	egb_se	esurf_avg	esurf_se	gb_tot_avg	gb_tot_se	jan-id	Kd-exp	expt-dg	expt-err	q	N	site
l11	4.000004423687642e-07	8.636148528741437e-06	-6.000000241357385e-07	7.849824884103224e-06	1.4000001345948477e-06	7.106248764558362e-06	-1.6999999116507068e-06	8.67325211894567e-06	1.1000000136363043e-06	5.702412410970425e-06	0.0	0.0	-37.41873480000138	4.2504253709747575	-35.3450051999999	1.3264681915363306	47.06048430000008	3.116932864671728	0.0	0.0	-25.703255100000405	1.9251969861587024	LDHA23	3.5e-05	-6.07655	0.1	-2	22	Adenine
l12	-1.0000009888244677e-06	7.354084066319511e-06	1.8999999921476277e-06	4.645076560176221e-06	-3.999999665893483e-07	9.105042285917447e-06	-6.000000042050147e-07	7.551357434059766e-06	9.999983973330016e-08	5.938132074793458e-06	0.0	0.0	-37.90250040000153	1.3841600294863103	-38.62131190000003	1.1430800962419605	46.216791999999934	0.9692071327275908	0.0	0.0	-30.307020299999852	0.9954622355280685	LDHA24	0.00016	-5.17644	0.1	-2	21	Adenine
l13	9.000008174098184e-07	9.697843713844189e-06	6.00000006940604e-07	9.862367612269764e-06	7.000000584866939e-07	8.956218979370764e-06	-6.000000576023013e-07	8.339610914338053e-06	-3.4999999832052712e-06	7.898953853169897e-06	0.0	0.0	-369.56300420000036	18.091254676346765	-22.481474900000144	0.9271485633074672	339.09615369999983	15.406482512489335	0.0	0.0	-52.948327299999846	3.7996806453094236	LDHA25	0.0011	-4.03465	0.1	-2	16	Substrate
l14	-5.999995300953742e-07	7.5977062283290785e-06	8.000000335073309e-07	8.96727474088575e-06	-2.9000000148471367e-06	7.857091176357643e-06	-9.999998162868454e-08	8.27132551690634e-06	1.2999998223506285e-06	7.6288947301456194e-06	0.0	0.0	-410.60873109999886	17.470231386626068	-56.2319925	1.574863270514952	383.06884989999975	15.139999669617286	0.0	0.0	-83.77187519999994	4.175093371974459	LDHA26	1.3e-07	-9.39052	0.1	-2	36	Bridging
l15	1.5000012990640245e-06	7.875476102568431e-06	2.9000001339341e-06	9.048237432500883e-06	-6.000002539963134e-07	8.464419986255333e-06	-6.000000022510221e-07	6.0625334303463275e-06	-2.200000321579409e-06	8.219592705087098e-06	0.0	0.0	-412.5872263000003	17.666286078847154	-59.320043699999964	1.7091329067722905	383.95444310000005	15.710970220729928	0.0	0.0	-87.9528259000002	4.659268926841071	LDHA27	4.5999999999999995e-08	-10.0058	0.1	-2	39	Bridging
l16	-2.9999910793776513e-07	9.255151024270752e-06	2.500000028007321e-06	7.895604013426472e-06	-3.3000001189975587e-06	6.876455822521928e-06	1.3999999718805612e-06	7.3435650788851105e-06	1.0999998396243882e-06	7.1034546171234346e-06	0.0	0.0	-213.51439919999882	10.361007492540406	-55.64174579999998	1.934469026088548	201.27425550000007	6.771135687755865	0.0	0.0	-67.8818880999997	6.362962497925153	LDHA28	3.2e-06	-7.49333	0.1	-1	33	Bridging
l17	1.0999997948601958e-06	7.834531789568557e-06	4.0000008567631094e-07	6.7003240999040945e-06	3.0000001511609747e-06	7.513218455985086e-06	6.999999663293011e-07	9.594559579780162e-06	3.0000009687114466e-07	8.034165239282084e-06	0.0	0.0	-417.1630226999997	12.67491845461437	-53.63516709999998	1.2428382650126863	386.2059072000001	9.586111474944689	0.0	0.0	-84.59227710000032	4.445173513294773	LDHA29	6.900000000000001e-08	-9.76566	0.1	-2	35	Bridging
l18	-3.0000042670508266e-07	8.48530020297676e-06	-5.999999832084768e-07	7.847380250071652e-06	6.000000873029876e-07	8.693333573278923e-06	-2.500000072771513e-06	8.304230040085922e-06	-1.2999999735541222e-06	8.544777478704069e-06	0.0	0.0	-404.6544603999993	14.882039658529056	-54.371153000000064	1.8646431374078416	378.2460408	12.483887393871514	0.0	0.0	-80.77957669999978	3.982599544811706	LDHA30	1.2e-06	-8.07422	0.1	-2	35	Bridging
l19	2.3000000146566892e-06	8.804909002272324e-06	-2.0000001654807423e-07	7.318795663192653e-06	-1.9999985454433047e-07	6.993893024007167e-06	2.399999997493296e-06	6.938167254558182e-06	-5.000001769417396e-07	8.151832067071589e-06	0.0	0.0	-416.19588989999886	12.497582481207688	-57.78416420000011	1.5345751154250868	385.8052051	10.72124719535753	0.0	0.0	-88.17484519999992	3.7015020531034817	LDHA31	6e-08	-9.84844	0.1	-2	38	Bridging
l20	-5.000000237487256e-07	5.746487494476797e-06	2.7569058147491886e-14	8.666153902674726e-06	9.999998533771759e-07	6.900589075939861e-06	-2.0000000025532926e-06	6.156876906812001e-06	-3.6000001472302765e-06	6.09208377091053e-06	0.0	0.0	-410.6538552000007	12.601682894273127	-57.886782499999846	1.524687068757164	384.72740090000013	11.207863397271453	0.0	0.0	-83.81324189999994	3.7106264207067783	LDHA32	1.8e-07	-9.19778	0.1	-2	38	Bridging
l21	1.7999991223405232e-06	8.915220048446272e-06	9.999992144571481e-08	8.646336137293152e-06	-3.2999998427385435e-06	9.684643939899837e-06	1.1000000768035534e-06	5.2953726432684765e-06	1.9999979457452359e-07	8.576735021884881e-06	0.0	0.0	-412.49817170000017	10.346694946198383	-54.85543670000013	1.191456098377801	389.3748135	9.78111261318133	0.0	0.0	-77.97879500000012	2.9822531426608534	LDHA33	9.300000000000001e-08	-9.58888	0.1	-2	35	Bridging
l22	-3.0999995533420585e-06	7.152899607024927e-06	-9.999992926168489e-08	7.059662757673598e-06	-1.4999999180531631e-06	6.552665455248769e-06	-9.000000009962151e-07	7.643181596947889e-06	2.399999936528729e-06	7.160656678993797e-06	0.0	0.0	-411.2696977999996	10.851482175209057	-59.00060199999992	1.4554740646071789	386.51248009999983	9.58283104108898	0.0	0.0	-83.75782290000032	2.7263035115582457	LDHA34	8e-09	-11.0418	0.1	-2	38	Bridging
